level_0,level_1,Non-satisfaction,Satisfaction,Statistics
문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,0.0,5216 (58.10%),3761 (41.90%),"$\chi^2$=1197.53, $p$=0.00"
문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,1.0,442 (18.36%),1965 (81.64%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.0,1941 (49.09%),2013 (50.91%),"$\chi^2$=1132.71, $p$=0.00"
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.0125,42 (15.91%),222 (84.09%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.025,323 (25.63%),937 (74.37%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.037500000000000006,157 (18.71%),682 (81.29%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.05,32 (8.86%),329 (91.14%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.0625,24 (7.77%),285 (92.23%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.07500000000000001,47 (7.85%),552 (92.15%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.08750000000000001,1 (3.03%),32 (96.97%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.1,1 (2.22%),44 (97.78%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.125,31 (13.72%),195 (86.28%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.15000000000000002,46 (19.91%),185 (80.09%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.17500000000000002,1 (16.67%),5 (83.33%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.1875,1 (2.22%),44 (97.78%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.2,1 (25.00%),3 (75.00%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.25,6 (7.06%),79 (92.94%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.30000000000000004,1 (2.38%),41 (97.62%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.3125,1 (14.29%),6 (85.71%),
문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.375,3 (15.79%),16 (84.21%),
사회참여,0.0,2085 (77.80%),595 (22.20%),"$\chi^2$=1105.44, $p$=0.00"
사회참여,1.0,3573 (41.05%),5131 (58.95%),
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.0,2214 (48.91%),2313 (51.09%),"$\chi^2$=1081.94, $p$=0.00"
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.1111111111111111,379 (17.85%),1744 (82.15%),
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.2222222222222222,120 (21.20%),446 (78.80%),
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.3333333333333333,4 (4.44%),86 (95.56%),
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.4444444444444444,15 (6.10%),231 (93.90%),
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.5555555555555556,82 (13.00%),549 (87.00%),
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.6666666666666666,28 (12.96%),188 (87.04%),
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.7777777777777777,14 (8.28%),155 (91.72%),
문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.8888888888888888,6 (33.33%),12 (66.67%),
DQ6. 귀하께서는 건강에 자신 있습니까?_1,0.0,4712 (59.80%),3168 (40.20%),"$\chi^2$=1042.44, $p$=0.00"
DQ6. 귀하께서는 건강에 자신 있습니까?_1,1.0,946 (27.00%),2558 (73.00%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.0,76 (74.51%),26 (25.49%),"$\chi^2$=1013.65, $p$=0.00"
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.14285714285714285,371 (65.66%),194 (34.34%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.2857142857142857,527 (64.50%),290 (35.50%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.42857142857142855,1971 (55.23%),1598 (44.77%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.5714285714285714,1541 (63.44%),888 (36.56%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.7142857142857142,1149 (30.98%),2560 (69.02%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.8571428571428572,22 (14.67%),128 (85.33%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,1.0,1 (2.33%),42 (97.67%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.0,1257 (46.25%),1461 (53.75%),"$\chi^2$=986.96, $p$=0.00"
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.03225806451612903,709 (49.24%),731 (50.76%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.16129032258064516,1 (33.33%),2 (66.67%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.22580645161290322,3 (23.08%),10 (76.92%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.25806451612903225,3 (10.34%),26 (89.66%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.29032258064516125,4 (8.33%),44 (91.67%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.3870967741935484,1 (10.00%),9 (90.00%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4193548387096774,78 (28.06%),200 (71.94%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4516129032258064,22 (12.87%),149 (87.13%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4838709677419355,50 (14.12%),304 (85.88%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5161290322580645,22 (34.38%),42 (65.62%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5483870967741935,53 (14.72%),307 (85.28%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5806451612903225,8 (5.84%),129 (94.16%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6129032258064515,23 (9.62%),216 (90.38%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6451612903225806,46 (17.29%),220 (82.71%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6774193548387096,25 (25.00%),75 (75.00%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7096774193548386,15 (13.04%),100 (86.96%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7419354838709677,15 (10.07%),134 (89.93%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7741935483870968,17 (10.43%),146 (89.57%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8064516129032258,25 (9.09%),250 (90.91%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8387096774193548,60 (19.05%),255 (80.95%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8709677419354838,81 (20.25%),319 (79.75%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.9032258064516129,134 (19.97%),537 (80.03%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.9354838709677419,1 (5.26%),18 (94.74%),
무형식학습 (암묵적 학습) 참여,0.0,3454 (65.53%),1817 (34.47%),"$\chi^2$=982.40, $p$=0.00"
무형식학습 (암묵적 학습) 참여,1.0,2204 (36.05%),3909 (63.95%),
월 가구소득,0.0,419 (71.62%),166 (28.38%),"$\chi^2$=944.63, $p$=0.00"
월 가구소득,0.25,1114 (64.17%),622 (35.83%),
월 가구소득,0.5,2724 (58.14%),1961 (41.86%),
월 가구소득,0.75,1397 (32.14%),2950 (67.86%),
월 가구소득,1.0,4 (12.90%),27 (87.10%),
문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.0,30 (73.17%),11 (26.83%),"$\chi^2$=903.98, $p$=0.00"
문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.25,145 (67.76%),69 (32.24%),
문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.5,649 (51.88%),602 (48.12%),
문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.75,1192 (32.68%),2455 (67.32%),
문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,1.0,381 (12.83%),2589 (87.17%),
직업관련 목표지향 평균,0.25,1 (20.00%),4 (80.00%),"$\chi^2$=823.05, $p$=0.00"
직업관련 목표지향 평균,0.33333333333333337,15 (53.57%),13 (46.43%),
직업관련 목표지향 평균,0.41666666666666663,94 (68.12%),44 (31.88%),
직업관련 목표지향 평균,0.5,139 (51.87%),129 (48.13%),
직업관련 목표지향 평균,0.5833333333333334,220 (38.19%),356 (61.81%),
직업관련 목표지향 평균,0.6666666666666666,424 (30.86%),950 (69.14%),
직업관련 목표지향 평균,0.75,291 (20.29%),1143 (79.71%),
직업관련 목표지향 평균,0.8333333333333333,196 (10.69%),1638 (89.31%),
직업관련 목표지향 평균,0.9166666666666667,89 (7.86%),1043 (92.14%),
직업관련 목표지향 평균,1.0,37 (8.35%),406 (91.65%),
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,0.0,121 (59.02%),84 (40.98%),"$\chi^2$=789.04, $p$=0.00"
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,0.25,364 (49.26%),375 (50.74%),
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,0.5,914 (42.31%),1246 (57.69%),
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,0.75,409 (20.67%),1570 (79.33%),
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,1.0,421 (14.66%),2451 (85.34%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.0,259 (32.58%),536 (67.42%),"$\chi^2$=772.35, $p$=0.00"
문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.2,3034 (53.47%),2640 (46.53%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.4,846 (26.66%),2327 (73.34%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.6000000000000001,11 (5.14%),203 (94.86%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.8,1 (5.00%),19 (95.00%),
문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,0.0,134 (45.42%),161 (54.58%),"$\chi^2$=768.93, $p$=0.00"
문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,0.25,433 (48.38%),462 (51.62%),
문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,0.5,954 (37.16%),1613 (62.84%),
문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,0.75,556 (18.80%),2401 (81.20%),
문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,1.0,59 (5.14%),1089 (94.86%),
문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.0,173 (60.07%),115 (39.93%),"$\chi^2$=711.06, $p$=0.00"
문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.25,375 (51.72%),350 (48.28%),
문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.5,663 (35.15%),1223 (64.85%),
문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.75,752 (22.75%),2553 (77.25%),
문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,1.0,170 (10.27%),1485 (89.73%),
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_3.0,0.0,5114 (55.83%),4046 (44.17%),"$\chi^2$=703.15, $p$=0.00"
DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_3.0,1.0,544 (24.46%),1680 (75.54%),
무형식학습(온라인) 참여,0.0,2164 (69.92%),931 (30.08%),"$\chi^2$=693.91, $p$=0.00"
무형식학습(온라인) 참여,1.0,3494 (42.15%),4795 (57.85%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.0,1025 (44.66%),1270 (55.34%),"$\chi^2$=632.68, $p$=0.00"
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.01,1750 (42.50%),2368 (57.50%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.02,10 (6.71%),139 (93.29%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.03,60 (16.39%),306 (83.61%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.04,49 (14.71%),284 (85.29%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.05,27 (15.25%),150 (84.75%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.060000000000000005,49 (15.96%),258 (84.04%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.06999999999999999,133 (18.63%),581 (81.37%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.08,9 (8.18%),101 (91.82%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.09,8 (5.67%),133 (94.33%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.09999999999999999,11 (16.42%),56 (83.58%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.11,15 (17.44%),71 (82.56%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,0.12,3 (30.00%),7 (70.00%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,0.0,22 (5.76%),360 (94.24%),"$\chi^2$=632.09, $p$=0.00"
문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,0.07142857142857142,1840 (42.03%),2538 (57.97%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,0.14285714285714285,2794 (54.26%),2355 (45.74%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,0.21428571428571427,56 (14.07%),342 (85.93%),
문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,0.2857142857142857,22 (18.80%),95 (81.20%),
